[],"It’s So Hard For Me To Cater To Her When She Cries Because, I Have To Leave Her At Daycare While I’m At Work. It Hu… https://t.co/hngSUlhuoO",HisLilBADDBitch,DC
[],RT @mnolangray: If only the daycare had a multimillion dollar underground parking structure...,AviWoolf,Israel
[],"RT @mnolangray: If only the daycare had talked to ""the community"" first...",AviWoolf,Israel
[],"@Goldie_Glo @TakeoffDee What you wanna slap me for? Ion work at the daycare , they the ones go be beating tf out to child. 💀",BeenueeSr,337 🏚
[],RT @KnowItAllDoll: This is why I don’t wanna put the twins in daycare. I would kill everybody in there. https://t.co/xVVnBz0LFj,emanithegoddess,"Oakland, Ca"
[],Helllll no. I’d be raising hell at that daycare. No way no body hear this baby crying.,AShiirley,
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,_AurelieM,
[],"How? HOW?! You hang a child. Run over two people with your vehicle as you flee, cause a third accident in which the… https://t.co/dYFWs2nVxJ",BlazinBajan,
[],"RT @TataCompanies: Throwback to the time in 1886, when we were the first and only Indian company to start a daycare and primary classes for…",sandy0408,Hyderabad
[],How do I tell parents that just because the daycare closes at 12:30 doesn’t mean that they should show up at 12:30… https://t.co/M9Im5ITaqB,umkeeks,Long Island 
"['Daycare', 'Childcare']","Preparing Your Child for Child Care. @healthychildren #Daycare #Childcare
https://t.co/VVbuZpdG4H https://t.co/eM3JTvsCkF",WSParkDistrict,"Western Springs, IL"
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,Polit_eur,"New Jersey, USA"
[],The lady that owns the daycare one of my patients goes to was really trying to set me up with her son the whole ses… https://t.co/ApTKJ2sDyW,karinanicolexo,
[],RT @Cee_cee_lina: Reason number 2873 as to why I will never put my child in a daycare. If this shit happened everybodys dying Idgaf https:/…,_milfshake_,
[],"I would whoop EVERYBODY'S ASS. The daycare teacher,the teacher assistant, the director, the damn janitor and the ma… https://t.co/SEETcnsLPg",UpscalePassion_,
[],Wow.  How absurd.,jimb345,
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,KirklandAlexis,Plastic Beach on Living Island
[],I’ll steady just walk myself to jail by the time I’m done popping whoever the fuck was meant to be watching the kid… https://t.co/Y1LjgTv77i,Sheila_molua,Nigeria
[],See.. nah. This is why my kid ain’t in daycare. I’d catch a quick charge,Oddthekreatorr,
['FunThursday'],"🎉Hours and hours of fun, games and joy we have for all our friends🍪at ABC Daycare🎈with our teachers😄

#FunThursday… https://t.co/2UFnxGbXdC",Abc_Daycare_,"San Antonio, TX"
['babykhahy'],"Looking at this picture of #babykhahy sitting there on the floor at daycare, wearing a crown with her name spelled… https://t.co/YLLr9k6Whx",khahy,
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,K0dxine__,"Brooklyn, NY"
[],RT @kasheeeez: Y'all really hella cute it's crazy how she left my kids At daycare to be with you on my day but y'all cute https://t.co/KYnW…,yungcramer,408
[],"@Noahpinion It's weird that for all of the ""interventions"" by the federal government we're all mostly ok with, the… https://t.co/0YP6OA8Rai",dmtrubman,
[],RT @lynux6gold: @kilovh @AviWoolf @mnolangray @mlewyn A group in my also nice neighborhood just successfully fought tooth-and-nail to keep…,mnolangray,KY ➡ DC ➡ NYC
[],RT @kasheeeez: Y'all really hella cute it's crazy how she left my kids At daycare to be with you on my day but y'all cute https://t.co/KYnW…,sinnnderellaaa,
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,Nodays_off__,"Atlanta, GA"
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,iamarya_,
[],RT @alphaideas: Super Respect. https://t.co/ZeZAPHRTXA,HAX_u_ANYTIME,India
[],Somebody dying!,DmanChosenToo,"New Orleans, LA"
[],"first day of school pics - great, we all love them!
.. unless your kid is going to daycare or college - can we knock that off?",davidhuey,"Atlanta, GA"
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,jackiebillek,
"['ATSOCIALMEDIAAT', 'BlackpoolRockz', 'coloring', 'child', 'parent', 'mom', 'dad', 'grandparent', 'teacher', 'daycare']",RT @writer_gail: #ATSOCIALMEDIAAT #BlackpoolRockz #coloring #child #parent #mom #dad #grandparent #teacher #daycare Very excited to announc…,BlackpoolRockz,
[],RT @katmiriamxo: I think it’s jailtime for me and eternal nap time for the staff https://t.co/nOXUrlCiYj,__Moraa__,Somewhere Being Excellent 
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,derekaasare,T H E L O O P 🌴
[],"im pretty much running a doggy daycare right now, so hmu if your pet needs someone to watch them :)",jordan_rebeccaj,Tx
[],RT @katmiriamxo: I think it’s jailtime for me and eternal nap time for the staff https://t.co/nOXUrlCiYj,KingAdriel86,NYC
[],"Daycare Management Software Market Competition Landscape, Growth Opportunity And Highlights of The Market 2018-2025… https://t.co/OZe1rUg7F9",northcarolinahe,North Carolina
[],"Daycare Management Software Market Competition Landscape, Growth Opportunity And Highlights of The Market 2018-2025… https://t.co/w7sZkYDaxe",usmarketnewslat,
[],"Daycare Management Software Market Competition Landscape, Growth Opportunity And Highlights of The Market 2018-2025… https://t.co/5LwizK1hPt",trinity_digest,
[],"Daycare Management Software Market Competition Landscape, Growth Opportunity And Highlights of The Market 2018-2025… https://t.co/AzW9EA2b1t",rainbownewsline,
[],&amp; this is why my baby boy will not be in daycare !!!,tashyiaaa,"Madisonville, KY"
[],might cry knowing it’s my last day at daycare for a little while😢😢,katiedoittt,"Shamokin, PA"
[],RT @QueenLiaaaa: Facts. They will be with their grandmother https://t.co/aCtRbhJwcT,princesssuzzz,
[],"@ItsTheBrandi I mean no one should ever drive a kid to daycare cause it’s a nightmare, but these effers are also ag… https://t.co/yboQv46Osv",trayf,Philadelphia
[],"RT @lexsemien: This would be the day y’all saw me on the news for fuckin people up at the daycare. Not my baby, don’t think so https://t.co…",SteaphanieSoto,
[],"@pragmatist20152 ""I agree we need more daycare, but... Why do *we* have to suffer the consequences?"" Where is the line to slap this woman?",e_mcray,Just trying to bring some Light to The Darkside
[],Republicans: Forget education. Schools are just daycare centers. Let's have Halliburton's KBR be in charge of schoo… https://t.co/GHpyHxCiZS,silvanet,Illinois / Florida
[],@zaythejap She better sue that daycare &amp; the parent of that child !,BellaMaryjanee,"Michigan, USA"
[],"The 2 yr old, his mum, his dad, siblings, the doctor that birth him, the owner of the daycare, the family of the ow… https://t.co/FFt5xJPTrA",halimellams,
[],@dcexaminer @TomFitton Which fed daycare or Leavenworth hard labor prison will trader get,joestou76226896,"Georgia, USA"
[],"Yes, daycare NIMBYism is a thing.",ColinVParker,"Atlanta, GA"
[],RT @JaredSawyerJr: A mother picked her child up from daycare like this. The staff told her another 2-year old climbed in the crib he was na…,mardecade,
[],"RT @usc_wic: WiSE Child Care Grants provide doctoral students, postdoctoral fellows, and faculty members in WiSE-eligible departments with…",fluorinequeen,"Los Angeles, CA"
[],RT @kasheeeez: Y'all really hella cute it's crazy how she left my kids At daycare to be with you on my day but y'all cute https://t.co/KYnW…,kuwtc__,Minding 🖕🏽
[],Salty I have to dress professionally to work at a daycare 🙃,ayyyamykate,"West Virginia, USA"
[],My sister daycare just got 5 stars 🤞🏼🎉🎁 happy for them,elura__,"Cleveland, OH"
"['hiring', 'job']",We're #hiring! Read about our latest #job opening here: Coordinator of Work Force and Community Education Developme… https://t.co/VQlY3gV5CZ,tmj_AR_EDU,Arkansas
[],It's my daughter's last day at the daycare she's been at since she was 8 months old. God bless childcare providers.,msadhanjal,Lheidli T'enneh #cityofpg
[],"okay...no. i worked in a daycare, the most ruthless thing i’ve seen two year olds to do each other is bite...but ev… https://t.co/nKDoEOnZp7",msk2marra,in ya dreams 
[],Why would the daycare even keep 9 month olds with 2 year olds? Like wtf?!,nessamtzxo,"New Mexico, USA"
[],RT @jongeeting: Daycare NIMBYism is real. Wonder why there are so few of them and you need to get on a waitlist as soon as you’re pregnant?…,schubertcx,"New York, NY"
[],I swear i feel like i work in a daycare sometimes 🙄😡,desttt107,"Corpus Christi, TX"
